,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,61,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,,,,,61
,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,3
,,,,,,30,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,3,3
,,,,,,,,,,,,,3,3,3,,,,,,,,,3,3,,,,,,,,3,3,3
,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
